run_tag,strategy,profile,concurrency,endpoint,method,requests,failures,rps,avg_ms,p50_ms,p95_ms,p99_ms
pessimistic_lock_mixed_c5_rep1,pessimistic_lock,mixed,5,/items/:id [GET],GET,180,0,44.73,6.64,7.0,11.0,12.0
pessimistic_lock_mixed_c5_rep1,pessimistic_lock,mixed,5,/items/:id/reserve [POST],POST,243,9,60.39,12.33,12.0,17.0,18.0
pessimistic_lock_mixed_c5_rep1,pessimistic_lock,mixed,5,/metrics/consistency [GET],GET,34,0,8.45,10.99,10.0,16.0,20.0
pessimistic_lock_mixed_c5_rep1,pessimistic_lock,mixed,5,/reservations/:id/release [POST],POST,65,0,16.15,13.02,13.0,17.0,19.0
pessimistic_lock_mixed_c5_rep2,pessimistic_lock,mixed,5,/items [GET],GET,633,0,45.06,9.18,9.0,15.0,17.0
pessimistic_lock_mixed_c5_rep2,pessimistic_lock,mixed,5,/items/:id [GET],GET,644,0,45.85,7.81,7.0,13.0,14.0
pessimistic_lock_mixed_c5_rep2,pessimistic_lock,mixed,5,/items/:id/reserve [POST],POST,764,24,54.39,14.36,14.0,20.0,23.0
pessimistic_lock_mixed_c5_rep2,pessimistic_lock,mixed,5,/metrics/consistency [GET],GET,114,0,8.12,12.93,12.0,19.0,20.0
pessimistic_lock_mixed_c5_rep2,pessimistic_lock,mixed,5,/reservations/:id/release [POST],POST,196,0,13.95,15.88,15.0,23.0,28.0
pessimistic_lock_read_heavy_c100_rep1,pessimistic_lock,read_heavy,100,/items [GET],GET,1022,0,72.91,339.49,330.0,520.0,690.0
pessimistic_lock_read_heavy_c100_rep1,pessimistic_lock,read_heavy,100,/items/:id [GET],GET,1012,0,72.19,330.08,330.0,480.0,650.0
pessimistic_lock_read_heavy_c100_rep1,pessimistic_lock,read_heavy,100,/items/:id/reserve [POST],POST,1164,34,83.04,358.54,350.0,530.0,710.0
pessimistic_lock_read_heavy_c100_rep1,pessimistic_lock,read_heavy,100,/metrics/consistency [GET],GET,179,0,12.77,352.05,340.0,500.0,670.0
pessimistic_lock_read_heavy_c100_rep1,pessimistic_lock,read_heavy,100,/reservations/:id/release [POST],POST,308,0,21.97,361.92,350.0,500.0,640.0
pessimistic_lock_read_heavy_c100_rep2,pessimistic_lock,read_heavy,100,/items [GET],GET,969,0,69.1,329.32,320.0,480.0,610.0
pessimistic_lock_read_heavy_c100_rep2,pessimistic_lock,read_heavy,100,/items/:id [GET],GET,1095,0,78.08,323.97,320.0,500.0,590.0
pessimistic_lock_read_heavy_c100_rep2,pessimistic_lock,read_heavy,100,/items/:id/reserve [POST],POST,1232,28,87.85,348.27,340.0,490.0,670.0
pessimistic_lock_read_heavy_c100_rep2,pessimistic_lock,read_heavy,100,/metrics/consistency [GET],GET,168,0,11.98,346.18,340.0,490.0,570.0
pessimistic_lock_read_heavy_c100_rep2,pessimistic_lock,read_heavy,100,/reservations/:id/release [POST],POST,310,0,22.11,364.53,350.0,540.0,710.0
pessimistic_lock_read_heavy_c20_rep1,pessimistic_lock,read_heavy,20,/items [GET],GET,1074,0,76.57,44.55,45.0,63.0,72.0
pessimistic_lock_read_heavy_c20_rep1,pessimistic_lock,read_heavy,20,/items/:id [GET],GET,1118,0,79.7,41.43,42.0,58.0,67.0
pessimistic_lock_read_heavy_c20_rep1,pessimistic_lock,read_heavy,20,/items/:id/reserve [POST],POST,1270,40,90.54,60.49,61.0,84.0,96.0
pessimistic_lock_read_heavy_c20_rep1,pessimistic_lock,read_heavy,20,/metrics/consistency [GET],GET,204,0,14.54,57.34,59.0,77.0,88.0
pessimistic_lock_read_heavy_c20_rep1,pessimistic_lock,read_heavy,20,/reservations/:id/release [POST],POST,352,0,25.09,63.88,65.0,85.0,96.0
pessimistic_lock_read_heavy_c20_rep2,pessimistic_lock,read_heavy,20,/items [GET],GET,1134,0,80.84,44.06,45.0,58.0,69.0
pessimistic_lock_read_heavy_c20_rep2,pessimistic_lock,read_heavy,20,/items/:id [GET],GET,1135,0,80.91,40.57,41.0,56.0,66.0
pessimistic_lock_read_heavy_c20_rep2,pessimistic_lock,read_heavy,20,/items/:id/reserve [POST],POST,1288,39,91.82,58.42,60.0,78.0,88.0
pessimistic_lock_read_heavy_c20_rep2,pessimistic_lock,read_heavy,20,/metrics/consistency [GET],GET,196,0,13.97,55.44,57.0,72.0,80.0
pessimistic_lock_read_heavy_c20_rep2,pessimistic_lock,read_heavy,20,/reservations/:id/release [POST],POST,348,0,24.81,63.03,63.0,84.0,95.0
pessimistic_lock_read_heavy_c50_rep1,pessimistic_lock,read_heavy,50,/items [GET],GET,1137,0,81.11,139.04,140.0,170.0,180.0
